pipeline,order,operator,baseline_arm,candidate_arm,baseline_mean_s,candidate_mean_s,speedup,time_reduction_percent,baseline_cv,candidate_cv,both_pairs_improve,observed_improvement,attributable_improvement,added_mechanisms,root_configuration_note,normal_root_claim_eligible,corrected_report_ref
audio,3,audio_ffmpeg_wrapped_mapper,R,ALL,156.7779903850751,156.80629539495567,0.9998194906026618,-0.018054198686345835,0.0020950468506622587,0.0017857842016030779,False,False,False,,not_affected_by_ad_root_helper,True,
audio,4,audio_ffmpeg_wrapped_mapper,R,ALL,155.0291534300195,155.181157635001,0.9990204725412668,-0.09804878735282241,0.0023249347106640934,0.001711021873114271,False,False,False,,not_affected_by_ad_root_helper,True,
audio,5,audio_duration_filter,R,ALL,148.90674434497487,147.88412184995832,1.0069150256445658,0.686753645387228,0.0029367633205791915,0.000989249272741589,True,False,False,,not_affected_by_ad_root_helper,True,
video,0,video_ffmpeg_wrapped_mapper,R,ALL,30.691208535048645,30.954654824978206,0.991489283553019,-0.8583770483612918,0.00011615068735257634,0.0011415328362490876,False,False,False,,not_affected_by_ad_root_helper,True,
video,1,video_resize_resolution_mapper,R,ALL,2.401262509985827,2.414663625007961,0.9944501110285745,-0.5580862136648657,0.0017655962110022325,0.0032595492687974106,False,False,False,,not_affected_by_ad_root_helper,True,
video,2,video_split_by_scene_mapper,R,ALL,39.09155042498605,39.635930920019746,0.9862654797705601,-1.3925784194165347,0.011885403621249367,0.001271452915732614,False,False,False,,not_affected_by_ad_root_helper,True,
video,3,video_duration_filter,R,ALL,4.6748323399806395,4.69686211500084,0.9953096824048034,-0.471242034324848,0.0019214485888581832,0.0014743981873835458,False,False,False,,not_affected_by_ad_root_helper,True,
video,4,video_split_by_duration_mapper,R,ALL,1.3799971450353041,1.362325369962491,1.0129717727221799,1.2805660603276814,0.0030394012150754394,0.004056160285781145,True,False,False,,not_affected_by_ad_root_helper,True,
video,5,video_extract_frames_mapper,R,ALL,4.917219334980473,4.937400259950664,0.9959126414899179,-0.41041335753779773,0.000333112047061186,0.0012486490336864626,False,False,False,,not_affected_by_ad_root_helper,True,
pdf,0,pdf_parse_mapper,R,ALL,6.710711099964101,6.8455678800237365,0.9803001325203179,-2.009575111352313,0.004891521861711971,0.0012217058062591285,False,False,False,,not_affected_by_ad_root_helper,True,
pdf,1,pdf_ocr_mapper,R,ALL,415.3287846700405,415.36118409002665,0.9999219969962837,-0.007800908865962519,0.0008445755818038139,0.00029612858581528083,False,False,False,,not_affected_by_ad_root_helper,True,
pdf,2,pdf_table_extract_mapper,R,ALL,7.363634849956725,7.424902694998309,0.991748330239687,-0.8320326345615081,0.001002585022262175,0.0033205303963073133,False,False,False,,not_affected_by_ad_root_helper,True,
pdf,3,text_chunk_mapper,R,ALL,0.0328769400366582,0.03488563501741737,0.9424205699636458,-6.10973824972596,0.0009997866069301334,0.002657110913030134,False,False,False,,not_affected_by_ad_root_helper,True,
pdf,4,bge_vectorize_mapper,R,ALL,6.604180324997287,7.296356705017388,0.9051339719254514,-10.480882501045041,0.009459922647599447,0.013433008961169831,False,False,False,,not_affected_by_ad_root_helper,True,
